query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,disease,http://dbpedia.org/resource/Ethinamate,true,false
Ethinamate,drug,disease,http://dbpedia.org/page/Ethinamate,true,false
Ethinamate,drug,disease,http://dbpedia.org/page/Ethionamide,true,false
Ethinamate,drug,disease,http://dbpedia.org/resource/Ethionamide,true,false
Ethinamate,drug,disease,http://www.dbpedia.org/resource/Ethinamate,true,false
Ethinamate,drug,disease,http://www.dbpedia.org/resource/Ethionamide,true,false
Ethinamate,drug,disease,http://www.drugbank.ca/drugs/DB00609,true,false
Ethinamate,drug,disease,http://en.wikipedia.org/wiki/Ethinamate,true,false
Ethinamate,drug,disease,http://www.drugbank.ca/drugs/DB01031,true,false
Ethinamate,drug,disease,http://en.wikipedia.org/wiki/Ethionamide,true,false
Ethinamate,drug,disease,http://data.linkedct.org/resource/intervention/5124,true,false
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/hypnoticsAndSedatives,true,false
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/illicit,true,false
Ethinamate,drug,disease,http://bio2rdf.org/kegg:D00703,true,false
Ethinamate,drug,disease,http://129.128.185.122/drugbank2/drugs/DB01031/inserts/2116/full,true,false
Ethinamate,drug,disease,http://bio2rdf.org/cpd:C07832,true,false
Ethinamate,drug,disease,http://bio2rdf.org/cas:126-52-3,true,false
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/leprostaticAgents,true,false
Ethinamate,drug,disease,http://www.rxlist.com/cgi/generic2/ethionamide.htm,true,false
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/dosageforms/tabletFilmCoatedOral,true,false
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine_hydrochloride,true,false
