query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,drug,http://dbpedia.org/resource/Ethinamate,TRUE,TRUE
Ethinamate,drug,drug,http://dbpedia.org/page/Ethinamate,TRUE,TRUE
Ethinamate,drug,drug,http://dbpedia.org/page/Ethionamide,TRUE,TRUE
Ethinamate,drug,drug,http://dbpedia.org/resource/Ethionamide,TRUE,TRUE
Ethinamate,drug,drug,http://www.dbpedia.org/resource/Ethinamate,TRUE,TRUE
Ethinamate,drug,drug,http://www.dbpedia.org/resource/Ethionamide,TRUE,TRUE
Ethinamate,drug,drug,http://www.drugbank.ca/drugs/DB00609,TRUE,TRUE
Ethinamate,drug,drug,http://en.wikipedia.org/wiki/Ethinamate,TRUE,TRUE
Ethinamate,drug,drug,http://www.drugbank.ca/drugs/DB01031,TRUE,TRUE
Ethinamate,drug,drug,http://en.wikipedia.org/wiki/Ethionamide,TRUE,FALSE
Ethinamate,drug,drug,http://data.linkedct.org/resource/intervention/5124,TRUE,FALSE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/hypnoticsAndSedatives,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/illicit,TRUE,TRUE
Ethinamate,drug,drug,http://bio2rdf.org/kegg:D00703,TRUE,TRUE
Ethinamate,drug,drug,http://129.128.185.122/drugbank2/drugs/DB01031/inserts/2116/full,TRUE,FALSE
Ethinamate,drug,drug,http://bio2rdf.org/cpd:C07832,TRUE,FALSE
Ethinamate,drug,drug,http://bio2rdf.org/cas:126-52-3,TRUE,FALSE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/leprostaticAgents,TRUE,TRUE
Ethinamate,drug,drug,http://www.rxlist.com/cgi/generic2/ethionamide.htm,TRUE,FALSE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/dosageforms/tabletFilmCoatedOral,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine_hydrochloride,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/approved,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/smallMolecule,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://dbpedia.org/resource/Hydrocodone,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://dbpedia.org/page/Phenylpropanolamine,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://en.wikipedia.org/wiki/Hydrocodone,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://en.wikipedia.org/wiki/Diphenylpyraline,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www.drugbank.ca/drugs/DB01146,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www.dbpedia.org/resource/Phenylpropanolamine,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://dbpedia.org/resource/Diphenylpyraline,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://dbpedia.org/resource/Phenylpropanolamine,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://dbpedia.org/resource/Brompheniramine,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www.dbpedia.org/resource/Diphenylpyraline,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www.dbpedia.org/resource/Hydrocodone,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://en.wikipedia.org/wiki/Phenylpropanolamine,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www.drugbank.ca/drugs/DB00835,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://en.wikipedia.org/wiki/Brompheniramine,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www.drugbank.ca/drugs/DB01114,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://data.linkedct.org/resource/intervention/56715,TRUE,FALSE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Memantine,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Memantine_Hydrochloride,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01043,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00819_DB01043,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB00703,TRUE,TRUE
Memantine,drug,drug,http://data.linkedct.org/resource/intervention/9096,TRUE,FALSE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01390,TRUE,FALSE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00703_DB01043,TRUE,FALSE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3202,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00819,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01144,TRUE,TRUE
Memantine,drug,drug,http://dbpedia.org/page/Methazolamide,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB00819,TRUE,TRUE
Memantine,drug,drug,http://www.dbpedia.org/resource/Memantine,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00703,TRUE,TRUE
Memantine,drug,drug,http://data.linkedct.org/resource/intervention/62349,TRUE,FALSE
Memantine,drug,drug,http://data.linkedct.org/resource/intervention/42858,TRUE,FALSE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/smallMolecule,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/excitatoryAminoAcidAntagonists,TRUE,TRUE
Memantine,drug,drug,http://data.linkedct.org/resource/intervention/59485,TRUE,FALSE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/aliskiren,TRUE,TRUE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Aliskiren_fumarate,TRUE,TRUE
Aliskiren,drug,drug,http://data.linkedct.org/resource/intervention/31415,TRUE,FALSE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/talc,TRUE,TRUE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/titanium_dioxide,TRUE,TRUE
Aliskiren,drug,drug,http://data.linkedct.org/resource/intervention/31407,TRUE,FALSE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5493444,TRUE,TRUE
Aliskiren,drug,drug,http://data.linkedct.org/resource/intervention/31412,TRUE,FALSE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/magnesium_stearate,TRUE,TRUE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2032,TRUE,TRUE
Aliskiren,drug,drug,http://data.linkedct.org/resource/intervention/1099,TRUE,FALSE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/crospovidone,TRUE,TRUE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/microcrystalline_cellulose,TRUE,TRUE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/colloidal_silicon_dioxide,TRUE,TRUE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/routeOfAdministration/Oral,TRUE,TRUE
Aliskiren,drug,drug,http://data.linkedct.org/resource/intervention/15762,TRUE,FALSE
Aliskiren,drug,drug,http://data.linkedct.org/resource/intervention/31417,TRUE,FALSE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/povidone,TRUE,TRUE
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/iron_oxide_colorants,TRUE,TRUE
