query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00609,TRUE,FALSE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1278,TRUE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3725,TRUE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/992,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/440,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/447,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/162,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/544,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/479,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3746,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1313,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/319,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/48,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/106,FALSE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/2307,TRUE,TRUE
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/2455,FALSE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01114,TRUE,FALSE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine_hydrochloride,TRUE,FALSE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00388,TRUE,FALSE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine,TRUE,FALSE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00397,TRUE,FALSE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00835,TRUE,FALSE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01146,TRUE,FALSE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/13,TRUE,FALSE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/988,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/852,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3733,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/98,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1467,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/872,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/54,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/94,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3421,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1032,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1025,TRUE,TRUE
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/710,TRUE,TRUE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01144,TRUE,FALSE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01043,TRUE,FALSE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01390,TRUE,FALSE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00703_DB01043,TRUE,FALSE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Memantine,TRUE,FALSE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Memantine_Hydrochloride,TRUE,FALSE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB00703,TRUE,FALSE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3202,TRUE,FALSE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1278,TRUE,TRUE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/162,TRUE,TRUE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB00819,TRUE,FALSE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/106,TRUE,TRUE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00819_DB01043,TRUE,FALSE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3725,TRUE,TRUE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/992,FALSE,TRUE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1480,TRUE,TRUE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1620,TRUE,TRUE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3746,FALSE,TRUE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/440,FALSE,TRUE
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/103,FALSE,TRUE
Aliskiren,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Aliskiren_fumarate,TRUE,FALSE
Aliskiren,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/aliskiren,TRUE,FALSE
