query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/75,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00609,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01031,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2761171,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1810,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/152,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2845,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1487,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3331,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01748,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1239,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB02087,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3245,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2910,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3647,false,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/175,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB02679,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB03877,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00606,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3039,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00388,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00397,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00835,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine_hydrochloride,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01146,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2725,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01114,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/13,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00956,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00514,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/382,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3309,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/261,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3588,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3400,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00344,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2040,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/389,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00176,true,true
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01043,true,true
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/1986,true,true
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01144,true,false
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4054,true,true
