query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00609,TRUE,FALSE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01031,TRUE,FALSE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3725,TRUE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1278,TRUE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3566,FALSE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3746,FALSE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/999,FALSE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/2011,FALSE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/992,FALSE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/2566,FALSE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/2745,FALSE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1571,FALSE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/2455,FALSE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/447,FALSE,TRUE
Ethinamate,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/162,FALSE,TRUE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01114,TRUE,FALSE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine_hydrochloride,TRUE,FALSE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00388,TRUE,FALSE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine,TRUE,FALSE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00397,TRUE,FALSE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00835,TRUE,FALSE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01146,TRUE,FALSE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/13,TRUE,FALSE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00514,TRUE,FALSE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00956,TRUE,FALSE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3733,TRUE,TRUE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1467,TRUE,TRUE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3421,TRUE,TRUE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/98,TRUE,TRUE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/852,TRUE,TRUE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3452,TRUE,TRUE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/81,TRUE,TRUE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1032,TRUE,TRUE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/347,FALSE,TRUE
Phenylpropanolamine,drug,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/851,TRUE,TRUE
Memantine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01144,TRUE,FALSE
Memantine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01043,TRUE,FALSE
Memantine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01390,TRUE,FALSE
Memantine,drug,disease,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00703_DB01043,TRUE,FALSE
Memantine,drug,disease,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3202,TRUE,FALSE
