query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,drug,http://bio2rdf.org/kegg:D00703,TRUE,TRUE
Ethinamate,drug,drug,http://bio2rdf.org/kegg:D00591,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/hypnoticsAndSedatives,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/75,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01031,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/smallMolecule,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00609,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/approved,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/illicit,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/leprostaticAgents,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/antitubercularAgents,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/fattyAcidSynthesisInhibitors,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00999,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/references/15908576,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00819,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/references/17030912,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/references/14638486,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/references/17139284,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/references/7585327,TRUE,TRUE
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00436,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/smallMolecule,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/approved,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/antihistamines,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://bio2rdf.org/kegg:D07398,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine_hydrochloride,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://bio2rdf.org/kegg:D03742,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://bio2rdf.org/kegg:D01172,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01114,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/13,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01146,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00388,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00956,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00397,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00835,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/histamineH1Antagonists,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00514,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/anti-allergicAgents,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/analgesics,TRUE,TRUE
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/nasalDecongestants,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/approved,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/smallMolecule,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugtype/investigational,TRUE,TRUE
Memantine,drug,drug,http://bio2rdf.org/kegg:D00655,TRUE,TRUE
Memantine,drug,drug,http://bio2rdf.org/kegg:D00218,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Memantine,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Memantine_Hydrochloride,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3202,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/diuretics,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01043,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/excitatoryAminoAcidAntagonists,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/carbonicAnhydraseInhibitors,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/dopamineAgents,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/antidyskinetics,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1884,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/centralNervousSystemAgents,TRUE,TRUE
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugcategory/antiparkinsonAgents,TRUE,TRUE
Memantine,drug,drug,http://bio2rdf.org/kegg:D00518,TRUE,TRUE
Memantine,drug,drug,http://bio2rdf.org/kegg:D01203,TRUE,TRUE
