query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01031,true,false
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00609,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine_hydrochloride,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00397,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00835,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/13,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01114,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00388,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00956,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00514,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01146,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00874,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01486,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00201,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00283,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/765,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1163,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2243,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3724,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1699,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3017,true,false
