query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01031,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00609,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine_hydrochloride,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00397,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00835,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/13,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01114,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00388,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00956,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00514,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01146,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00874,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01486,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00201,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00283,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/765,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1163,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2243,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3724,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1699,true,true
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3017,true,true
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Memantine,true,true
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Memantine_Hydrochloride,true,true
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00703_DB01043,true,false
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00819_DB01043,true,false
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB00703,true,false
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB00819,true,false
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01144,true,false
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01390,true,false
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3202,true,true
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01043,true,true
Memantine,drug,drugs,http://cbio.mskcc.org/cpath#CPATH-87852,true,false
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4054,true,true
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3229,true,true
Memantine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/4095,true,false
Aliskiren,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/aliskiren,true,true
Aliskiren,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Aliskiren_fumarate,true,true
Aliskiren,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2032,true,true
Aliskiren,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01258,true,true
Aliskiren,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/667,true,true
Aliskiren,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5493444,true,true
Methdilazine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00902,true,true
Trovafloxacin,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/trovafloxacin,true,true
Trovafloxacin,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/trovafloxacin_mesylate,true,true
Trovafloxacin,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00295_DB00685,true,false
Trovafloxacin,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3728,true,true
Trovafloxacin,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00685,true,true
Trovafloxacin,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/62959,true,true
Altretamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/altretamine,true,true
Altretamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00488,true,true
Altretamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2123,true,true
Altretamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2205,true,true
Altretamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3505,true,true
Natamycin,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/natamycin,true,true
Natamycin,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/657250,true,true
Natamycin,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3596,true,true
Natamycin,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00826,true,true
Dexbrompheniramine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00209_DB00405,true,false
Dexbrompheniramine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00427_DB00405,true,false
Dexbrompheniramine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00662_DB00405,true,false
Dexbrompheniramine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00405,true,true
Dexbrompheniramine,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00382_DB00405,true,false
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Diatrizoate_Meglumine,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Diatrizoate_Sodium,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1848,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1194,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00271,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1803,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1973,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2421,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/4115,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3478,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3909,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/173,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2144,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2459,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1953,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/47,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/540,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2212,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1304,true,true
Diatrizoate,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2140,true,true
Coats%27 disease,diseases,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/diseaseSubtypeOf,false,true
