query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01031,true,true
Ethinamate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00609,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00397,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00835,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01114,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00388,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00956,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00514,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01146,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00874,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01486,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00283,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00201,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1699,true,true
Phenylpropanolamine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3724,true,true
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01043,true,true
Memantine,drug,drug,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4054,true,true
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5493444,true,true
Aliskiren,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01258,true,true
Methdilazine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00902,true,true
Trovafloxacin,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00685,true,true
Trovafloxacin,drug,drug,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/62959,true,true
Altretamine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00488,true,true
Altretamine,drug,drug,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2123,true,true
Altretamine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2205,true,true
Altretamine,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3505,true,true
Natamycin,drug,drug,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/657250,true,true
Natamycin,drug,drug,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3596,true,true
Natamycin,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00826,true,true
Dexbrompheniramine,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00405,true,true
Diatrizoate,drug,drug,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00271,true,true
Diatrizoate,drug,drug,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2140,true,true
Polydactyly,diseases,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3618,true,true
Polydactyly,diseases,disease,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/3619,true,true
Polydactyly,diseases,disease,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1486,true,false
Polydactyly,diseases,disease,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2829,true,false
Polydactyly,diseases,disease,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2996,true,false
Polydactyly,diseases,disease,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3076,true,false
Polydactyly,diseases,disease,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2757,true,false
