query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01031,true,false
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/diseases,true,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:55653,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5649,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5650,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5651,false,true
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0009450,false,false
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:8495,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:8497,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:891,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:898,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:911,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:6993,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:7006,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:7212,false,true
Ethinamate,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:28147,false,true
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/10,false,true
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1001,false,true
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1003,false,true
Ethinamate,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseases/1006,false,true
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine_hydrochloride,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00397,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00835,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/13,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01114,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/diseases,true,true
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00388,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00956,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00514,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01146,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00874,true,false
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3017,true,false
Phenylpropanolamine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:55653,false,true
Phenylpropanolamine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5649,false,true
Phenylpropanolamine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5650,false,true
Phenylpropanolamine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5651,false,true
Phenylpropanolamine,drug,diseases,http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0009450,false,true
Phenylpropanolamine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:8495,false,true
Phenylpropanolamine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:8497,false,true
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Memantine,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Memantine_Hydrochloride,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00703_DB01043,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB00819_DB01043,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB00703,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB00819,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01144,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drug_interactions/DB01043_DB01390,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3202,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01043,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/diseases,false,true
Memantine,drug,diseases,http://cbio.mskcc.org/cpath#CPATH-87852,true,false
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4054,true,false
Memantine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:55653,false,true
Memantine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5649,false,true
Memantine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5650,false,true
Memantine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5651,false,true
Memantine,drug,diseases,http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0009450,false,true
Memantine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:8495,false,true
Memantine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:8497,false,true
Aliskiren,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/aliskiren,true,false
Aliskiren,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Aliskiren_fumarate,true,false
Aliskiren,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2032,true,false
Aliskiren,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01258,true,false
Aliskiren,drug,diseases,http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/667,true,false
Aliskiren,drug,diseases,http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5493444,true,false
Aliskiren,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/diseases,true,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:55653,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5649,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5650,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5651,false,true
Aliskiren,drug,diseases,http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0009450,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:8495,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:8497,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:891,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:898,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:911,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:6993,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:7006,false,true
Aliskiren,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:7212,false,true
Methdilazine,drug,diseases,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00902,true,false
Methdilazine,drug,diseases,http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/diseases,false,true
Methdilazine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:55653,false,true
Methdilazine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5649,false,true
Methdilazine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5650,false,true
Methdilazine,drug,diseases,http://linkedlifedata.com/resource/lhgdn/association:5651,false,true
Methdilazine,drug,diseases,http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0009450,false,true
