query,querytype,preference,result,relevant,fitpreference
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB01031,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/sider/drugs,false,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00609,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/drugs,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/drugs,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/sider/siderDrugId,false,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/Offer,true,true
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/organization/HETERO_DRUGS_LIMITED,false,false
Ethinamate,drug,drugs,http://www4.wiwiss.fu-berlin.de/sider/resource/sider/drugName,false,true
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/diseaseontology/id/DOID:13457,false,false
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/diseaseontology/id/DOID:9708,false,false
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/lhgdn/association:20675,false,false
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/diseaseontology/id/DOID:12048,false,false
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/diseaseontology/id/DOID:13102,false,false
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/diseaseontology/id/DOID:13635,false,false
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/diseaseontology/id/DOID:13991,false,false
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/diseaseontology/id/DOID:13162,false,false
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/diseaseontology/id/DOID:13191,false,false
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/diseaseontology/id/DOID:2466,false,false
Ethinamate,drug,drugs,http://linkedlifedata.com/resource/diseaseontology/id/DOID:788,false,false
Phenylpropanolamine,drug,drugs,http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/Phenylpropanolamine,true,true
